digest,character,resources,first_resource,first_slot
0750da93f04c96938a1ad7c2d266211d37927447,y,1,10,28
0754a26d20b95139bb8d01141c704e707af6ada7,蜘,7,291,27
078d329632e3fe55ddbfd6fd32244833442a7a38,事,34,29,146
079ef5798358c1ec17a1a8ecb7af43215815f802,遺,36,29,29
07ac0268704861680ac3551cd65391b5f2ac2530,持,56,24,64
07dc01d622110066c3bdc04706f20a90b6bd4e26,枯,23,29,23
07ec74b84be2092e36a617eb8a9b8ded5659f57f,砂,25,39,318
084069af0688068b22c192fffcde24ca4cc3a8f8,鉄,26,35,144
08462d88ed40fab8611cc2f25faa26493e658555,族,6,47,177
085bd6f48eb10eba29dfd51606513d988c208077,保,25,10,298
085eb0dd46b7c6808b6b8392f1211fdf817ff30e,防,4,53,158
087368fec30952cebea8e18a797443b0862b253e,ヤ,58,33,110
08a9d2492cee6d8df162429060120a5694f21a75,導,6,47,157
08ca22166173be15b068668eafc484a62acc1340,せ,21,10,137
08d1da706777573bb70e245737659b5a5c1bbcdc,X,4,643,94
09167c3776a746369f20068c374a0daae1385469,留,9,49,257
09a860cb4f4cea706dbaf6c8d3a3440503b5c82b,篇,6,641,495
09bcf55328a5e26de5851271f0c2bc3b75c18d8a,介,25,39,392
09dfd6f5f341ed64279438219b924d4fc88ea7a6,ス,265,10,175
09e520b74c26e5d218d49fdde829fe07a107aff0,笑,23,39,488
09f55f260ca456dc434ec75d0866b5986b8eac98,昇,8,641,883
0a1647cf31991ae96bad32bb62320466efe39660,極,10,49,41
0a3f7005b71161db913733ba13511c015d8dbb10,功,3,97,181
0a5ae55dcf5612d14ea16dc8d1310fa2d5e339a5,陸,7,29,198
0a654efabe8151bfd006e812f1419b5219907367,な,191,24,69
0a6aee1152f1b8d13b25e581a7846f763d39757e,ビ,24,10,56
0a7750572a3bb5a5480959c88337ed178e9db42e,座,8,303,32
0af667ef51eaf7f56b86063108337ac38e7856b9,浴,1,650,1308
0b084149d0facecc612a67fb10e80cadd858420a,方,17,29,295
0b3de4842502adf03387b7b3dd13385423c928e6,敬,4,641,927
0b5c9d7ceb0bd5fab75eef3dc7549feccac28d1b,破,15,49,1280
0b5e7a50facac5b09ead1b9c5dbddf7b2f58d212,然,33,33,241
0b641f7ea9348e9eb48e1d75ec26c90961824a50,男,4,641,858
0b6924ab1985ed429fd094c30bab817f2bae0f5d,ゲ,27,39,861
0b780003730f7a74186ade440a5b56cb95c522ac,エ,103,24,31
0bb358312fe4712785dea772ad181574f8081b6f,側,22,39,267
0bd0b04c52aaa40e5b1d48eb97c86bfcf5cc6fd1,猛,6,641,363
0bd4d8e5d0d0a6bb20a8715b1627cad8478dbfcb,・,33,39,722
0bdc6749670c0a3497e683f393d24c12a632f4ff,森,34,39,586
0bfd1e636df188fbf5a70bf8e15f2b7572034a0c,っ,1,10,241
0c1f51bdc30d84973937d301a482792a48718854,詰,22,35,207
0c49153fe94d18779fb1214ee299d28e8e33ccb7,や,123,33,102
0c7cd398d3774b16406de65de78d3a9e699cda16,更,15,10,108
0c8823de4392d0c1eb3355ac0d9f5b83e4cda295,f,1,10,142
0c8eb776cc07f4f9eb36aeb6a33fb3e28f69fb92,晶,13,185,22
0c959fc06480736d53296e869f638983a987f5ec,輪,14,35,295
0caaec19e9b4dd176a8c9a38e432ba6fc19c2453,単,5,641,743
0d0a8ba65bd0436cecd426e01242ce47cf30d345,せ,1,10,272
0d2b7f7ae0c46509c03d01291c208cf884f0a083,只,1,650,1128
0d2d386556f7a7a99a8ee05637f5b1ceb5ce0d57,ン,2,10,286
0d30c14dd794c2f470012ad7d4243fd1c8659343,肝,6,641,502
0d38223a5933fec5205daf73d680d4e6aecf988b,昔,41,39,376
0d530c6b71cdf529d71e9766ef03f5184dff4391,込,41,39,468
0d7a76f90cf82d10fae6fe01c4439f61adac79de,ろ,1,10,247
0d7dcf593e5baa5622096550a486920d76e0dd97,居,3,644,1215
0d7f7a7937e09a37d232a66a01bd07d89474fb89,発,18,29,201
0d94892749cceb89d5c0ad15b06686febbe22ea3,す,112,10,15
0da9b4c7a54345450b00beed2d0a543c3c7290c2,紫,11,641,580
0dac0d9a8f433d91252ae5a5b33a13a67cb0fe78,転,21,24,117
0dc618e7ee2276767415d55b167c598e619e684d,ち,23,43,348
0dc777dc45be1af5cfe63ecd78376850c72569da,辛,25,39,38
0dce0391057e73c8547cd7161953e05c5156d7c4,そ,1,10,248
0dd06a2828acf5ddfa04656b1afded39496036f9,再,46,33,131
0de16e21b6574c18bb1fc416568ac1054db3e56d,玉,6,641,470
0de44e18303e3c668b56bd369a893857f56a2e4e,U,2,10,169
0df43d3043e79b359ede8f7447072e8220896c08,ベ,27,75,75
0e145267d1fb3913d8a2ce5092398c037b298b02,旅,6,51,208
0e42aad0359dab27a699110f80f3b64e2749844b,和,28,39,74
0e54da7a2b3ed510c0a38cf78f4df5f01a48e591,犠,5,121,312
0e7faa7471f7b1a04dcd35563e99fea6921a5cf9,D,2,10,126
0e876c3a62791f0477f8c810cb7ef36083fc3132,疲,28,39,801
0ea33cbf7e11a9554f1e21fdc20b051f88c63f45,ー,130,33,16
0ef802cddbac1ca59fcf3b517ab3d7951f49c016,ォ,57,39,996
0f25675418af0991a8c6742c8b65ab1739ca2b18,（,30,31,47
0f34961a82aa2042940a5721092c09d32fcef18c,流,33,33,222
0f47638b2cbd32e0dc5213227cb597c7391c9240,切,51,37,116
0f4ba2da064e0a76bac56bec24448caefb55bc56,0,22,39,600
0f51974911e2a12a987232f7b8ffc4548606024a,係,31,33,224
0f990200849713373046866adf68e043ec2431e5,希,4,641,1039
0fa6fe4246d3466ec8b6b6d01d216e62720267fd,衣,14,313,251
0fc61c4fa38d6ad1b932016c0ab4ba7194f44981,る,193,24,85
0fcfe7c6131e45478c5ca96893c871ba42dc3337,事,104,33,84
0ff51246b96d2f051e2fa5e84856b89bfe8ff24a,派,4,641,965
100c8300ee20aa22c8f82e948b6633b357b23d90,ボ,19,43,214
100e790fc2f72d94a19899ad7cefc71863f0a5f6,損,4,33,154
102b5e5d4af66d36581999e2b93c79a06c7e5d21,支,5,77,113
104707d043382b7c64fcc6c9d959f93a2326bf17,s,1,10,184
105b963d147662a85e5ce44408d78a07d61b7054,網,1,650,1200
105d317044c253a3d401358ec214964168a612ff,ア,125,33,288
10651241c3451186c39d5082e755ccd91b6b191f,戦,36,29,187
106d466427fe819b618dcca569fbc751b27597d1,画,13,10,70
1078d0fd017fc7f2c7b7614bb0f0fbd0bb6a6f36,去,32,39,500
107921f8dfdf995b9e8645c8898e9474e95c6d27,脈,9,29,220
1088aaa1c0e6646809bae0fd1daad4eee854ae0c,縮,6,641,908
10a8d5f0eb6ca644a6fdca03629eb4ed5a1c9de7,m,1,10,180
10aaae4a925948cbe13ec9b23fd3e6c1ea92b33c,因,26,39,942
10b7d6a02619198d9d9d06f4e56ef87c0b1236fc,帰,33,35,202
10bf4543c78ca218cc2896b3323b724e9366d4a2,定,22,10,155
10c4232bcf71f500929a52f00c0796d36f8be68e,叶,24,39,620
110c08c73bbe5daa6bdb201705f26f41a3cf6ed4,ガ,39,29,56
112943af7213abc955d9e3b1f79ed44efba55d86,還,8,167,104
1136cb541e3770ba98145add6bf425c71d0d89aa,渓,11,29,74
11511552eb3bd05a1ac80a59a25c82c86f07fb94,足,36,39,213
11597348b96b8958aeb93dfbabfd503e02bad684,H,57,10,171
1160967c6545c8ed17e133e743c035969331bfd8,L,6,643,96
1169888fec27cecce2a6fa601a7fcf9955cc1554,び,60,33,272
1180f6a7daa49919c8897b14d74ce86662506c17,端,4,10,162
119479e2c91dd5e1d0b86bacd3ec05615ab0c2cd,弟,1,650,1081
1198285807ac904f36a8b13afe14199d463ec6f0,布,7,89,387
11bb46795fb1356150337b5d140f4bb51ba2879b,チ,30,211,10
12236e324c9e0fe4eb6211a757bf737584a6be28,駄,24,39,397
122b8af238592f192dcf3635b3092b5a8c4860a0,奴,1,650,1241
124651bc4a711b1d39120607e414d505ba356819,起,60,35,212
128ae13d93d1bf1c7efa7e9b02f76be6f2f3f3c4,A,1,10,211
129975fe676bfb05cbd255b2c2eb78074c048138,ヶ,1,650,1297
12bb39ef207fa7d334b5c118ea237060f8ccf09a,さ,141,33,94
12cbb5b5e656f467c97af0666ac406f655b4fbbb,及,10,10,130
12d313fc3888f5e08851d1ecaead39d6f9e71288,ま,168,10,14
13082c46ac0ffbb189ef3a1f3fe4e962c1606530,抗,28,39,476
1315d9189eeae0e60b08d77cdfb6db113aa686ae,窟,57,29,44
13294cb0e2ba8185a1f317f5fdf4441fcf6288c8,枚,6,641,574
133bf49c74da64c86109464ae1ea50e7b5e98724,準,27,33,295
133daafc39e4c8106236cd10a4c74ca907b61df6,み,22,10,164
134008146429a17e237f806572b8182d0461cf8f,主,16,41,240
1344b321dae247f86ad3a0e9335ae088517141ed,宮,53,451,7
134db226c05ee1d0e4f24f75474dbecf35dfec9b,裏,24,39,747
134e4ba70cba66008f62a95d427f2bda792171c1,縛,5,641,1000
1373b18f3e71cf85db3950d5f50d523052597607,価,4,641,825
137cb5cc8aea07f0fbcd65fb272c69468c204d4d,新,31,35,169
13858c35eab6af17e621ce84dda41753c221c332,無,90,33,232
13a0816340e781827b36c475760978c8f5adb9a6,初,36,33,205
13a9d93019187a876e53fc9aa1afdb66178d7f87,だ,22,10,96
13ae03b7f0863ae2212a9e2d8d2dfdee69c7809e,断,12,43,327
13ce0b3ef378801784f9669fdaba6b613314f74a,n,1,10,33
13fb9eb316c875e1c053cb2557328a3c31498775,勢,2,647,630
141997ac15c91395aa82f61774ba06eff3872428,起,12,75,128
142d668ec13af8762607fa9c53b0b4855ec0b979,飾,6,641,378
142f93cd3e919c1315fb7b4ad509c6f519b7f09b,鍵,5,225,87
143e49e5d0666e946f3b7a376f71283401515f85,あ,1,10,251
1440bc48e4c358d6f58b090ed64ba4dad6e2b306,繰,25,39,194
14551d39c22d3d99bc0639126e2723b47afa58b7,風,25,39,486
1459fff40a235591ce5794f9cb8294b6c4455e62,お,20,29,102
1469487bdf2e3fcff026bbd777a08113e2c6342b,世,15,29,286
146ddfb18d15c29e5c372c427b5cea6164577b1e,式,23,39,642
1525a51570e5245db78c589adf54222195993511,洗,26,39,80
1547f2f7b3047f006d3d3012b039c290aae5e1f0,ハ,1,10,282
15a56964f17da87b44f9c73c2308095b3e811d26,功,2,75,139
15af16a14050051437f8d3de87e6b57db8506818,脅,1,650,1207
15d2ee02df1f5c5a61d3cdc98130e990d230e6e7,臓,6,641,358
15d769c00aea193b4dde520531044c6fa7f76f51,漂,4,29,118
1602c03568136fd34a604dc26d0541a64d23f7ff,業,15,79,267
16063fb75fa28f7af44ec2d9310ea6cf6f45e43a,腰,6,641,472
161df55b514508c060880a44a8e7334c13c4de5e,な,1,10,234
164ef9ac988e6314555d8e669a06db0597968d3a,陣,10,569,1
1654d033262e9e9eb601230f670f79dd737c18fc,痛,25,39,396
16685e8f04f13cd0bc545ce03674986247d3a210,（,10,1195,20
1669fdfdb3393c62315985f511a91abc563a0788,交,6,145,6
167569df27e091bbe6b94f17b25e59d01eaa7f82,城,50,29,212
167c7ac5ed8f96ccf8525d1260a948dcac062640,漠,25,39,523
16829f299f9a5358d1da8a41a3a494e2bd7e3f02,秩,6,641,491
169c12f996aeafd1b171e8bb7a3a9b357fea98a9,p,9,10,50
16bc1f28611481cc895f343e90caf448a3698704,ル,326,10,47
16db01f3adfd8a541666fad36e6497f1e3155cb2,脱,5,49,154
16e5595baecd749bb42bf3532008ee6ebc3b2c16,針,8,641,519
16f569c249373e93b8544766140a150e7181818a,壊,14,49,1281
16f807f032cd877a31bb582f290cd5d8219a1a72,逝,3,137,62
16fe5f768151514b5db4e12664135f014e26a1eb,ず,18,10,93
171621c1d374a1086640099591441fc806285b9a,Y,1,10,124
172acb4dc6151a44f515317f9c747ad4054c7af2,浸,1,29,270
176603f4df7ac052597d03147fb146cbee9463b4,走,6,641,896
177570377fd682b4ee2bc53063de0ff1f8f78bbf,ゆ,33,39,399
177fb73262a7857d9b145eec36dd28377f95ff40,転,12,1083,8
179677cd9ca7f1f7cc5332f8b930042aeadfc4b5,詛,4,641,1006
17a3bb8e357c37ac1a1f435689985107859691b2,粒,7,43,179
17aa4a3342a256445f577e9273e805700212be08,え,141,33,130
17dac480c0010ed6d37a85879f9724b35b6cc9d9,智,42,39,994
1802843ab1e639afbb57e238a9850fa1afa86e08,囲,11,49,231
1802847596207476513b1d8687cffc313aa64405,然,6,29,302
180304ca2669a46337431d1c5695ebd4ad5d0968,与,14,49,224
181172efe50ffb058d0cc99d4bb93eaf6f1d9b8e,H,1,10,223
181b6a8aab3042912d08bf6ccf3603433e074363,H,13,49,170
1821628507d34759b42db3ca68dcec843201284b,戻,59,10,275
18319aaeb8026791cc52d3cf5f32ae736ce87d95,王,36,29,142
184b3b4c8dcf7314bc3a706c33831908cb95f976,D,6,643,105
18816029e4f2ee74a6bb512e5d549f8a040d7d2a,名,16,43,266
188c263bbffcd6a54a4361d9fb11e7196e6038c0,歪,7,29,308
189cd6e247f1364fbe6a2160fad946de61081159,運,56,33,276
18a93ed4adb69c16f696b7a6e3c95bd921b9603f,光,31,33,42
18b8ed23a034cb531f8892a0441e9bd340223fc1,傘,6,641,355
18eee2105ae371b704c3d380679624d2b3ac8577,仮,6,641,397
1903966afe94a14e658142cbfc933da262b14bfb,ヴ,149,29,31
1921874706924aa28e0a76ec3cbe6657c1f1bfd1,獣,7,641,365
1936105dd8cc9c842790fcdbe401172891931960,蓮,6,641,181
1940ca69c8879b22af457c9293fcb8b6f347acce,員,4,648,173
195b2c1073fdf57942d8716c7f9956e596353aa4,魂,10,47,198
196a3e4ccd0fb8cee91fe262816ad6682c96fb3b,イ,205,10,84
19b3bc924dceef871bc7e89f09bb2917bbc17114,“,7,641,196
19f1a40577835d43343eb684156e3b728e61d085,印,31,24,80
19f80a76d2f64b76aaf4d5de9822fc6d74744ea9,翼,7,129,113
1a02c3bc13a0ec73d426689939be72aca6614ea4,樽,6,641,479
1a0425db1f9abd813d549af24181155b76c63efb,し,2,10,256
1a1893e5e4e5d080aa0c6ed681745c51c105836a,ラ,100,35,163
1a1b34ed2127177da4aa8b19e1ee043b02280e67,拒,5,29,243
1a568f9d3a581d4bcb61574ea2adc2db3381def2,ビ,32,39,802
1a735ae9cf70cdd92670a620bb6eb6afbb5d4b9e,沈,11,49,173
1ad774c0776bb11ddfbde7d213db6907cd2e359f,自,18,10,116
1adeaf724c43f8990335d0acce3dad338e0aebc5,子,42,37,106
1ae2cf1a0b63fe90265d85e99b97b46357bf6436,差,24,33,193
1aff6fb4eec3fd247917860c394fdb651d2f2bff,赤,8,43,176
1b27e8eda9a9e67ca7a98ad77831873430379f67,淀,6,641,480
1b2cb6b55dcbcc93cc90fcd81949356f97aac385,磨,1,650,1146
1b364b913ccbe4519c9eb79b2bd2ee1868f319db,枠,6,641,535
1b4f4de787b201bd66249cb61594740e9e7acaca,d,1,10,197
1b5c8b323426d22a167c6c199359f07cd396a2fa,部,13,29,173
1b5f1df373f4da06167d890ae68f9b10148d463b,燻,1,650,1030
1bbd5249138ca9c63d1153dfb4b0fab439a627dd,買,25,39,931
1bd6dc37a6feca82e9f867f9594fea3937bf3831,雇,1,650,924
1c3d4397cab964b5426abc17897a83e4e2ff77f5,狙,8,49,1274
1c5d58f642cca45069b715bb76f50f874f9b0b39,士,57,39,693
1c7a8750560029e6d6e1b3da370e7f4861be1efb,闘,25,49,12
1c7af908c52eb8212764f641eed358eb2bb27b91,粗,1,650,1082
1c87b6a58c211342c732595895a203a8da42e15d,共,30,33,278
1c8a6cda66373042d972e030b20dd58905bc3122,ね,134,10,304
1cdce072b9ca9f47cb782896b9176a6669d3c351,O,143,10,122
1cfcf9cff598c70cca0d05c187bb4e81ef371da5,喧,1,29,109
1d7fbf2b48219481d706b57efed4e4859844b060,便,2,650,1109
1d835212871b1cbfb26b7facec2590b7a6e6d230,L,1,10,200
1d99f8d20ec430c03d710035371f98c2c4c8787b,突,23,33,240
1d9b465b51d79e01d0e674e12668cd2377ad105e,ア,1,10,257
1dc811b6d683916cd75a43a7135b0b2ba42ddf9c,処,28,39,746
1dd5232d45213cc45f0eb3984e061441f9324c2a,始,36,33,317
1dd64513ee037206f9bfd5213f47fbf3a8e7a1eb,家,41,29,144
1e8f856d02aa343b59009f92596fdf92bf4b344b,量,11,10,150
1eab3029b737811fe7af23ab460d74f85d35e246,界,16,29,278
1ef5ec855aeb8e3de3e8e65c984f96f61a507f5a,認,28,35,43
1efa3c0d0868d554ac34c6db9ae7d6da1bfd6210,徘,1,29,196
1f05e80c1996e4a151675eb5cf354242d773b949,証,6,641,576
1f0aa0e74395259db87115a89b01d3178fdb9e76,準,4,10,92
1f297c5e5e8cb6df53bf327aafc97c3641ba7c5e,代,16,41,156
1f2c141407407a2e1a244cdb397d45eb5eba8d54,鎖,6,641,423
1f421a1c1ee54cd0c3dada369c070a4d1ef8995a,療,2,647,721
1f82fa5891eea22aeb4881b8d86515d82efebfdb,単,23,39,691
1fa1be89c0133f7e55bbfbf1ba01142742d90790,経,21,49,129
1fb43b2513f6fc3fc586ec8c84a7d5c85169a674,仕,9,49,214
1fcf6f537f16ba8aaa2d81e5edc37cbfb2d60171,貴,75,39,121
1fd64c32056fb169950d3bedb8c0fce404ee2ed2,稲,7,129,93
200bbe14c3f354965372de078cb2fdc0bb4ee0bd,た,340,10,54
200bd8587f925475b8cc2a1848730d2b159c97f7,／,8,643,98
2016a195cef709d30a1076d1829c7d45640a8861,付,32,37,117
20201e74a5c709dbc1d4da3d108d74b189e73cc6,散,4,647,605
20359c58bef8e2d6f85b5dfbf68d57edc2d0ed7b,惑,24,39,716
203a2a5533bf48df84d3381486feb9523ae64c74,神,44,29,39
2040e8015d8de3acf79eaf40b56baa98229737e7,ば,124,33,182
205152b4eb19f49921e5c63b7523288af7d6cba3,偽,6,641,403
20729ee5e392a9660f0eadcf00cd851556dddcd3,早,13,43,316
20845538adfca06952d31a4f8803c583de32c861,炎,19,49,1221
208716bfe6de2e30f63749b41c9699072f37225c,マ,169,24,99
2095b80cd8c4b5d77dcf8483a73d888cebb06ccc,管,24,33,148
209ebf655a8e516a6e88816faf941df8da5df329,遠,8,29,292
20b6a018aa1a9824f8a7c880fcdf82fe1df3236a,v,1,10,221
20bb1db3aad9bd05a1b8d66e206f90c46a67d7ce,全,52,10,297
20de134f9c7ed77116483e82ed74ef3130cd3fa6,冷,4,641,643
20eab2e731579b0a15e42aa35638b965c53bef46,百,23,39,479
20ec683a5b01ecc6e3086f4d1638f28d17050c8b,任,25,39,489
21610d2f86fcee7fc066c7be5d3492a1be0c222a,住,36,33,168
2177bcc70c9355a90f63ca240b805fa88b290fec,透,6,641,465
221762237f2348b294fce2a7d96866e80965dc2b,身,35,39,328
221b283552ad338dde8218811083a174eb2a88a4,叛,1,1197,235
222b0361da74c67a035cafcca655075c8493f72a,澄,5,641,967
224961b9342e7a3b119e13e4ef4e7ac846f7cf55,拐,1,650,1318
227ab872f85127812621be91395412a7947ac3a9,ぞ,75,33,238
22b59c18667d0ea374c574f44511dd494a2b057b,旅,36,39,496
22c31f85d1bc710c9688513aaf916afc63cc6c4d,数,33,39,377
230ba79dd6f4eac61fa892f82ab6ac7a2ad0dd5a,究,8,29,248
2345581256f2f00859b1900be54d3a883542e698,造,6,29,168
2365d9960ce63d944e8c2764943459794229c744,彼,3,167,47
23682b258b23a19154874a808234f1068e1a2ca6,船,4,29,85
23a4531b250528271b0c7f12ef32e1cdcc439a20,問,28,39,471
23cf6ae1e02cc6fc593caac912c4a5d7a95e55d7,ム,30,39,197
23d00ee6571684b6344e5e3a7fab562262cf1731,悩,1,650,1237
23e1466450770346a7e54d030b5d62350bfd11e2,S,5,643,107
23e98c2f013959f64e26f0c3a33d1877e34d43f7,聖,20,29,273
23ea3f37d1f229e441df962d75a7f3fa4cf390c8,運,7,29,232
23f3947f7bc40fb0f7bb0f377fd382f1cd98e6ee,紙,4,641,1173
2405576a1195654b7f71eb43201882a178140c40,勇,24,39,687
2422fa32987481bf4ff599e5ccef709896850691,裁,5,641,1162
244977605f29243ae8a1131df50cf327efd59518,求,4,641,668
246adf3bcbbd8816e4d045842b0cdc4c3f60d788,視,23,39,434
2480677a4a370dfd3c46e6fe364809ae374c9dfd,怒,30,33,245
24881bd63e0fc26275bd969e5813254477125b6e,ル,136,10,273
24947f3de2cb02a891a45c88b1b9757798b38f7e,水,24,35,287
2495b5aacba87c07c47b800c7e983b2dc258be18,遥,1,650,1138
24c259eb33569a11c691586b6bb10ae76047a228,じ,138,33,80
24da703c2f0ba46afb836cdf3e6c171757b4d2ec,議,26,35,136
24dfdae891b9483ecda2527438faba6974ba56ef,ユ,64,69,4
24efc1d5aca0c5249ac0c80d32d57efe4845810a,歪,30,39,863
251769a82b16cd066473cfe4fdb64491e92c7682,果,21,24,35
252b01ce632af3029a279651ecdae51e1e2348f9,望,38,35,103
252b326b29838e6b9557e3203f8efebfdf39ab5a,忙,23,33,298
254cb5e07cea67f8593d5761cb3aa4ab42544298,横,4,29,300
25517b51ee42685406a8a492b6db0322c3c1bf72,草,15,29,66
257737d99d8d9815b1bd2debc3326b812867695d,骨,9,81,274
257f11bceb1ff6a734ebbd36bec16233cfc2d286,辺,36,35,85
258ba1b12bb06b561ab02591df8ebc71f2074289,n,1,10,187
25c0b88ba020d6b3be258bf5acf2f7fa2ae3f948,振,8,641,901
25cd360ce35958e08cd28536ab9ed0ca04a4f4b6,汚,22,39,533
25f8322848e10773e7f5dcfe928701aa2c60563d,k,1,10,190
25faad596c079d6265fc8377e6479da5e11ac2b6,開,22,10,111
25fc250420982906fe2babdabee727a6f81bb759,策,2,649,261
2605d3d7304731d547afd311de4ec766735d018f,た,173,33,76
2635f06e576bbd74a1fafa1fc6e8c33601c4b5ea,リ,116,39,106
26664518ff8fe6e0ec7c04bfad0f8472e94f5c3b,徊,1,29,197
267bf717214195cc299ec90626341536e35b2886,優,5,641,629
268f5878df75bd565a424259b556113ae041f98a,閃,7,641,188
268f6756a4fe27b5f4bbdc1f9a4b6db1debc2a39,可,50,39,656
26a1ddb4993febd071cfd06df2a98352fe9cf5d8,対,14,10,51
26b4b0d842dc187455bb47d1da39573e5aa2e4cc,旋,7,51,180
26dc60a3235c0fd4e5c23a03cf2ba1efbe8bd1d7,腹,26,37,206
2720000a18adab24fd70ff0778c8db83da6261ca,作,37,35,114
272be896ab4d88679257505cd094636bf72a9383,括,1,1277,203
273185253ed2b97ca894ec3eec0d64eccbe4f515,惨,1,650,1228
2743206c0141dcae95311137811328b120d36e27,多,39,33,289
27461be646a30b897680387d62f201e36b1465d3,扱,6,10,101
27509dc589c63473710702db9f1ab5f7c22ec6e9,友,3,648,318
275dc43f0c3fd71bc64ef540838868ace4bc54e2,火,26,39,545
2762c1090c90b8b69b4450f5b3cf582b734a136c,激,25,35,151
277f4e58aae9bd201b13b2061af4e2722465978e,脚,6,641,394
2795fc71fe405bd59c0202c9c3691d606d11c964,廷,1,650,1283
27a0e8bd971759f0113b640a71924e7c454d27d3,少,25,33,318
27c24c5521acb63930f7ba1169c58b4e081dc2da,外,42,39,0
27e8f13ea897afecc85d4264daf40dba46c32313,翻,1,650,927
27f3b24c00581704d9b12b560494e217f6c80766,逆,8,641,341
27fb6e65252425cbf6522547c8efbc0989b3410b,シ,102,33,119
