original_jp,original_en,translated,occurrences,containers,notes
"咽を狙い澄ました一撃。
決め技ゲージ増加量：×Hit","An attack that goes right for the throat.
Increase to Special Attack gauge: 10 <0065> 1 Hit",,4,container-0647.csv container-0650.csv,
"無数の散弾を正面に放つ。
決め技ゲージ増加量：×Hit","A countless scattering of bolts is hurled forward. 
Increase to Special Attack gauge: 3 <0065> 8 Hits",,4,container-0647.csv container-0650.csv,
"上段から振り下ろす攻撃。
決め技ゲージ増加量：×Hit","A downward blow from high.
Increase to Special Attack gauge: 5 <0065> 2 Hits",,4,container-0647.csv container-0650.csv,
"敵を大きく吹き飛ばす横蹴り。
決め技ゲージ増加量：×Hit","A side kick that sends the enemy flying.
Increase to Special Attack gauge: 12 <0065> 1 Hit",,4,container-0647.csv container-0650.csv,
"上段からの振り下ろし。
決め技ゲージ増加量：×Hit","A downwards attack from above.
Increase to Special Attack gauge: 9 <0065> 1 Hit",,4,container-0647.csv container-0650.csv,
"体勢を低くしての素早い突き。
決め技ゲージ増加量：×Hit","A thrusting attack with the body kept low.
Increase to Special Attack gauge: 3 <0065> 2 Hits",,4,container-0647.csv container-0650.csv,
"勢いを付けた回転蹴り。
決め技ゲージ増加量：×Hit","A spinning kick with nothing held back.
Increase to Special Attack gauge: 13 <0065> 1 Hit",,4,container-0647.csv container-0650.csv,
"目にも留まらない高速の攻撃。
決め技ゲージ増加量：×Hit","A snake-fast attack quicker than the eye.
Increase to Special Attack gauge: 2 <0065> 4 Hits",,4,container-0647.csv container-0650.csv,
"隠し持ったナイフでの奇襲。
決め技ゲージ増加量：×Hit","Surprise attack with a hidden knife.
Increase to Special Attack gauge: 6 <0065> 2 Hits",,4,container-0647.csv container-0650.csv,
"急所を狙っての一撃。
決め技ゲージ増加量：×Hit","A strike that aims for the foe's weak spot.
Increase to Special Attack gauge: 8 <0065> 1 Hit",,4,container-0647.csv container-0650.csv,
"剣圧による連続攻撃。
決め技ゲージ増加量：×Hit","Overwhelming sword flurry attack.
Increase to Special Attack gauge: 2 <0065> 6 Hits",,4,container-0647.csv container-0650.csv,
"回転しての足払い。
決め技ゲージ増加量：×Hit","A spinning sweep attack.
Increase to Special Attack gauge: 11 <0065> 1 Hit",,4,container-0647.csv container-0650.csv,
"一刀目で敵を切り上げ、二刀目で敵を切り伏せる攻撃。
決め技ゲージ増加量：×Hit","The first strike lifts the foe; the second cuts him down.
Increase to Special Attack gauge: 3 <0065> 3 Hits",,4,container-0647.csv container-0650.csv,
"敵の防御をすり抜ける攻撃。
決め技ゲージ増加量：×Hit","An attack that penetrates the foe's defenses.
Increase to Special Attack gauge: 11 <0065> 1 Hit",,4,container-0647.csv container-0650.csv,
"力任せの横薙ぎ。”攻撃ボタン長押しで吹き飛ばし可能”
決め技ゲージ増加量：×Hit","A brutal side slash. Hold button to launch enemy.
Increase to Special Attack gauge: 3 <0065> 2 Hits",,4,container-0647.csv container-0650.csv,
アイテム入手不可,Cannot Acquire Items,,4,container-0648.csv container-0866.csv,
戦闘メニュー禁止,Battle Menu Disabled,,4,container-0648.csv container-0866.csv,
HP回復無効,No HP Recovery,,4,container-0648.csv container-0866.csv,
ATK×.,ATK 150%,,4,container-0648.csv container-0866.csv,
RDM×,RDM 200%,,4,container-0648.csv container-0866.csv,
ATK〓,ATK 3/4,,4,container-0648.csv container-0866.csv,
,23,,4,container-0650.csv,
,27,,4,container-0650.csv,
いいえ,No,Não,3,container-0641.csv container-0643.csv container-0866.csv,
攻撃力〓,Attack Power,Poder de Ataque,3,container-0641.csv container-0644.csv container-0645.csv,
魔力〓,Magic Power,Poder Mágico,3,container-0641.csv container-0644.csv container-0645.csv,
命中率〓,Hit Rate,Taxa de Acerto,3,container-0641.csv container-0644.csv container-0645.csv,
回避率〓,Avoid,Esquiva,3,container-0641.csv container-0644.csv container-0645.csv,
物理耐性〓,Reduce Damage,Reduzir Dano,3,container-0641.csv container-0644.csv container-0645.csv,
魔法耐性〓,Magic Resist,Resistência Mágica,3,container-0641.csv container-0644.csv container-0645.csv,
種類〓に並び替えます,Arrange by type.,Ordem por tipo.,3,container-0641.csv container-0644.csv container-0645.csv,
攻撃力〓に並び替えます,Arrange by attack power.,Ordem por poder de ataque.,3,container-0641.csv container-0644.csv container-0645.csv,
魔力〓に並び替えます,Arrange by magic power.,Ordem por poder mágico.,3,container-0641.csv container-0644.csv container-0645.csv,
命中率〓に並び替えます,Arrange by hit rate.,Ordem por taxa de acerto.,3,container-0641.csv container-0644.csv container-0645.csv,
回避率〓に並び替えます,Arrange by evasion rate.,Ordem por esquiva.,3,container-0641.csv container-0644.csv container-0645.csv,
魔法耐性〓に並び替えます,Arrange by magic resistance.,Ordem por resistência mágica.,3,container-0641.csv container-0644.csv container-0645.csv,
一般的に使用されている鉄〓の刀剣。,A common sword made of steel.,,3,container-0641.csv container-0644.csv container-0645.csv,
細身の剣。主に刺突攻撃を想定して作られている。,A thin-bladed sword. Generally used to deliver thrust attacks.,,3,container-0641.csv container-0644.csv container-0645.csv,
サーベルの原〓となった剣。〓子の尾という意味を持つ。,"A kind of saber. Its name means ""curved like a lion's tail.""",,3,container-0641.csv container-0644.csv container-0645.csv,
勇猛な戦士が好んで使っていたという刀剣。,Preferred sword of fearless warriors.,,3,container-0641.csv container-0644.csv container-0645.csv,
身〓の広い片刃の曲刀。,Curved sword with wide blade.,,3,container-0641.csv container-0644.csv container-0645.csv,
"ヒルトと呼ばれるナックルガードを取り付け、
利き手の防御効果を高めた刀剣。","Equipped with a large hilt, it improves the wielder's defense.",,3,container-0641.csv container-0644.csv container-0645.csv,
"〓まわしき亡霊を打ち払う聖剣。
実体を持たない魔物を切り裂くと言われている。","Holy sword that disperses wicked spirits.
It is said to rip through immaterial beasts.",,3,container-0641.csv container-0644.csv container-0645.csv,
"〓暴な獣を一太刀で〓ったと言われる剣。
倒された獣は波紋の一つになると言われている。","Sword said to bury ferocious beasts in a single blow.
Fallen beasts leave but a memory.",,3,container-0641.csv container-0644.csv container-0645.csv,
斬撃と刺突の両方の用途に優れた特性を示す刀剣。,Sword that is excellent for either slashing or stabbing.,,3,container-0641.csv container-0644.csv container-0645.csv,
直刀〓のサーベル。,A straight-edged saber.,,3,container-0641.csv container-0644.csv container-0645.csv,
氷の魔力を付与された刀剣。,Sword endowed with the magic of ice.,,3,container-0641.csv container-0644.csv container-0645.csv,
"〓状に曲がった刃を持つ剣。
毒蛇の頭〓を持つ魔物の首を落としたと言われている。","Sword with blade curved in the shape of a crescent.
Said to have decapitated a monster with snakes for hair.",,3,container-0641.csv container-0644.csv container-0645.csv,
"邪悪な力を持つ大蜘蛛を一太刀で〓ったと言われる剣。
その刀身に〓れた虫は、ことごとく死を迎える。","Blade said to have buried a monstrous spider.
Insects writhe at its touch.",,3,container-0641.csv container-0644.csv container-0645.csv,
雷撃の力を刃に付与された刀剣。,"A sword whose razor-sharp edge is endowed with the power of
lightning.",,3,container-0641.csv container-0644.csv container-0645.csv,
"氷の魔力を付与された刀剣。
斬られた者は極〓の冷気にさらされると言う。","Sword endowed with the magic power of ice.
Its victims are stung by a bitter cold.",,3,container-0641.csv container-0644.csv container-0645.csv,
"魔力を砕くと言われる剣。
この剣の前には、どんなに〓大な魔術師も無力となる。","Sword said to crush magic power. 
Even the greatest of sorcerers is powerless before it.",,3,container-0641.csv container-0644.csv container-0645.csv,
炎の力を秘めているという刀剣。,Sword imbued with the power of fire.,,3,container-0641.csv container-0644.csv container-0645.csv,
"水面に〓かぶ蓮を断ち切る〓に鋭い切れ味を持つ剣。
その刀身に〓れた植物はたちまち枯れゆく。","Blade so sharp it can cut floating lotuses.
Vegetation withers at its touch.",,3,container-0641.csv container-0644.csv container-0645.csv,
聖なる力で〓められた刀剣。,Sword blessed with holy power.,,3,container-0641.csv container-0644.csv container-0645.csv,
"あまりの攻撃の速さに、剣影が一つにしか見えないという名剣。
攻撃された者すら何度斬られたか〓握できない。","Blade so quick it appears as a blur. 
Not even its victim knows how many cuts are made.",,3,container-0641.csv container-0644.csv container-0645.csv,
"かつて湖の騎士と呼ばれた英雄の剣。
数多の女性を虜にすると言われている。","Sword once belonging to the Knight of the Lake.
Said to capture women's hearts.",,3,container-0641.csv container-0644.csv container-0645.csv,
白金に輝く金属で作られた長剣。材質〓詳細は不明。,"Longsword forged from an unknown metal with the shine of
platinum.",,3,container-0641.csv container-0644.csv container-0645.csv,
"無二の名剣。だが武器の本質を純粋に追求しすぎたため、
持つ者は残らず闇に〓ちる結果になるという。","A sword unmatched by any other. But it is so powerful that
the wielder will fall into darkness.",,3,container-0641.csv container-0644.csv container-0645.csv,
"竜殺しの異名を持つ聖人が所持した剣。
この剣による攻撃は通常の破壊力を上回る。","Sword of a saint known as the Dragonslayer.
Attacks with extraordinary destructive power.",,3,container-0641.csv container-0644.csv container-0645.csv,
〓石を鍛えて作られたという〓色の刀剣。,Sword forged from a fallen meteorite.,,3,container-0641.csv container-0644.csv container-0645.csv,
"世界創世の力を秘めているという神の剣。
正の力を負に転換して敵を攻撃し、浄化するという。","Divine sword imbued with the power to create worlds. Positive
power is transformed into negative power to purify enemies.",,3,container-0641.csv container-0644.csv container-0645.csv,
"神殺しの〓名をきせられた剣。
だがその本質は、魔とは正反対に位置している。","Its name means god-slayer, but in fact its power lies in the
opposite direction.",,3,container-0641.csv container-0644.csv container-0645.csv,
魔竜の腹中にあると言われた漆黒の魔剣。,"A magical black sword said to have been discovered in the
stomach of the dragon Bloodbane.",,3,container-0641.csv container-0644.csv container-0645.csv,
英雄ヘルギが所有していたと言われる剣。,Sword said to be that of the hero Helgi.,,3,container-0641.csv container-0644.csv container-0645.csv,
"天使を殺し続けた咎人に〓られる破壊の剣。
どんな〓大な神もこの剣の前には無力となる。","Sword bestowed upon a villain who slays angels. 
Even the mightiest of gods is powerless before it.",,3,container-0641.csv container-0644.csv container-0645.csv,
片手でも両手でも扱える剣。,Sword which can be wielded in one or both hands.,,3,container-0641.csv container-0644.csv container-0645.csv,
人の身長とほぼ同じ長さを持つ両手剣。,"A two-handed greatsword, as long as a man is tall.",,3,container-0641.csv container-0644.csv container-0645.csv,
精霊の力が付与された大剣。,Greatsword endowed with the power of the spirits.,,3,container-0641.csv container-0644.csv container-0645.csv,
"鋭い切れ味を持つ宝剣。
〓びてもその威力は〓がれないという。","Antique sword with a sharp blade. 
Even rust cannot dull its edge.",,3,container-0641.csv container-0644.csv container-0645.csv,
刀身は重いが切れ味は鋭い、両手持ち大剣の類〓。,"Two-handed greatsword with a blade that is heavy yet 
razor-sharp.",,3,container-0641.csv container-0644.csv container-0645.csv,
火炎の意を〓する大剣。炎のように波打つ刀身を持つ。,"Greatsword with a flame-like serrated edge.
A sword as deadly as it is decorative.",,3,container-0641.csv container-0644.csv container-0645.csv,
"人の身長よりも長く作られた超重量級の剣。
どんな巨大な敵も、防具ごと叩き潰す破壊力を持つ。","Super-heavyweight sword longer than its wielder's height.
Crushes enemies in their armor.",,3,container-0641.csv container-0644.csv container-0645.csv,
肉体と共に歪んだ精神を切り裂くという刀剣。,Sword which cuts through flesh as well as warped spirits.,,3,container-0641.csv container-0644.csv container-0645.csv,
"竜殺しとも呼ばれる大剣。
どんな強大な力を持つ竜も、この剣の前には無力となる。","Sword with incredible power against dragons.
Even the strongest of dragons is powerless before it.",,3,container-0641.csv container-0644.csv container-0645.csv,
かつてヴィルノア建国の雄となった戦士が愛用していた剣。,Beloved sword of one of Villnore's founders.,,3,container-0641.csv container-0644.csv container-0645.csv,
"刀身に蒼い波紋が時折〓かび上がり、
まるで息づいているかのような姿を見せる大剣。","Blue ripples occasionally appear on this greatsword's blade,
as if it were breathing.",,3,container-0641.csv container-0644.csv container-0645.csv,
"精霊王の名を〓する大剣。
幾〓にのぼる精霊を統べる者の証と伝えられる。","Greatsword named after a Fairy King who led thousands of
fairies in their war against the demons.",,3,container-0641.csv container-0644.csv container-0645.csv,
妖精により鍛えられた帝王の剣。,Imperial sword forged by fairies.,,3,container-0641.csv container-0644.csv container-0645.csv,
"王を選定するための岩から抜かれたという騎士王の剣。
一撃で相手を死に追いやると言われている。","Sword that grants wielder supreme executive power, plucked
from a stone by a knight. Smites foes in a single blow.",,3,container-0641.csv container-0644.csv container-0645.csv,
"ビフレストの番人ヘイムダルが所持する角〓。
戦いの時にはその姿を剣に変える。","Horn of Heimdall, guardian of Bifrost.
Assumes the form of a sword in battle.",,3,container-0641.csv container-0644.csv container-0645.csv,
どんな敵でも切り〓てたという不敗の剣。,An unstoppable sword that will slice any foe in two.,,3,container-0641.csv container-0644.csv container-0645.csv,
攻撃した相手の血を〓るという魔剣。,Magic sword that sucks the blood of its victim.,,3,container-0641.csv container-0644.csv container-0645.csv,
爆炎の力が付与された大剣。,Greatsword endowed with the power of a fiery explosion.,,3,container-0641.csv container-0644.csv container-0645.csv,
"悪〓なる者と名付けられた大剣。だがその不名〓な名も
あまりに強力な力を〓まれての事らしい。","Greatsword of ill repute.
Despite its dishonorable name, it holds staggering power.",,3,container-0641.csv container-0644.csv container-0645.csv,
持ち主に勝利をもたらす剣。だがその代〓は大きい。,"Brings victory to its holder, but at quite a cost...",,3,container-0641.csv container-0644.csv container-0645.csv,
"神界アスガルドに安定をもたらすと言われる槍。
四宝の一つで、オーディンが所有している。","Lance that stabilizes Asgard, realm of the gods.
One of the Four Treasures. Property of Odin.",,3,container-0641.csv container-0644.csv container-0645.csv,
神の祝福が与えられた矛槍。,Pole arm carrying the blessings of the gods.,,3,container-0641.csv container-0644.csv container-0645.csv,
"小さな王の名を〓する槍。装飾部には、〓んだ相手を
石化させるというバシリスクの眼がはめ込まれている。","A name derived from words meaning ""little king."" The inset
basilisk's eye can turn the object of its gaze to stone.",,3,container-0641.csv container-0644.csv container-0645.csv,
半月状の刃先を持つ長〓の槍。魔力が込められている。,"Pole arm bearing a half-moon shaped blade at its end.
Imbued with magic power.",,3,container-0641.csv container-0644.csv container-0645.csv,
"畏怖すべきこうもりの名を〓する長槍。
〓いうろこに覆われた魔物ですら、一撃で切り伏せるという。","Long heavy spear with the tooth of a dinosaur affixed to its
end.",,3,container-0641.csv container-0644.csv container-0645.csv,
一般的に使用されている小〓の弓。,A typical small bow.,,3,container-0641.csv container-0644.csv container-0645.csv,
"〓単な操作で威力ある矢を射出できるよう、
特殊な射出機構を取り付けた弓。","An easy-to-use mechanical bow that launches a short bolt at
high velocity.",,3,container-0641.csv container-0644.csv container-0645.csv,
長〓離攻撃を想定して作られた弓。,A bow designed for long range attacks.,,3,container-0641.csv container-0644.csv container-0645.csv,
シヨートボウを強化した弓。,A more powerful version of the short bow.,,3,container-0641.csv container-0644.csv container-0645.csv,
最高の素材と最高の技術を用いて作られた弓。,"A crossbow made of the finest materials with the finest
workmanship.",,3,container-0641.csv container-0644.csv container-0645.csv,
クロスボウを強化した弓。,A more powerful version of the crossbow.,,3,container-0641.csv container-0644.csv container-0645.csv,
多数の素材を組み合わせた合成弓。,Composite bow created from several materials.,,3,container-0641.csv container-0644.csv container-0645.csv,
"その弓から放たれた矢は、〓れる植物を
ことごとく枯らすと言われている弓。","It is said vegetation withers from the touch of arrows shot
from this bow.",,3,container-0641.csv container-0644.csv container-0645.csv,
攻撃力重視により大〓化したクロスボウ。,Enlarged crossbow meant for aggressive battle.,,3,container-0641.csv container-0644.csv container-0645.csv,
クロスボウの類〓。,A type of crossbow.,,3,container-0641.csv container-0644.csv container-0645.csv,
"魔力を打ち砕く弓。
どんな〓大な魔術師も、この矢の前には無力となる。","Bow that crushes magic power. Even the greatest of sorcerers
is powerless before it.",,3,container-0641.csv container-0644.csv container-0645.csv,
高度な技術により、矢の連続発射を可能とした弓。,"Advanced technology allows the bow to launch rapid-fire
attacks.",,3,container-0641.csv container-0644.csv container-0645.csv,
神の器と称されるエルフ族に伝わる弓。,Bow handed down amongst the elves.,,3,container-0641.csv container-0644.csv container-0645.csv,
"相対した者との断絶を意味する烈刃の弓。
その矢の閃きが敵をこの世から〓殺するという。","A bow which fires flashing arrows which carry tremendous
destructive force.",,3,container-0641.csv container-0644.csv container-0645.csv,
"疾風の〓く矢を放つ弓。
その弓から放たれた矢は、通常の破壊力を上回る。","Shoots arrows with sheer gale force. Arrows shot from the bow
achieve higher destructive capabilities.",,3,container-0641.csv container-0644.csv container-0645.csv,
光の神の命を奪うとされる宿り〓で作られた弓。,"A bow carved from a hollowed tree that captured the spirit of
the god of light.",,3,container-0641.csv container-0644.csv container-0645.csv,
"月光石と呼ばれる魔晶石の一種を改変して
作られたという矢を放つ弓。","A bow designed to fire arrows tipped with magical moon
crystals.",,3,container-0641.csv container-0644.csv container-0645.csv,
"聖なる力を付与された弓。
どんな〓れた力を持つ魔物も、この弓の前では無力となる。","Bow endowed with holy power. Even the most unclean monster
is powerless before it.",,3,container-0641.csv container-0644.csv container-0645.csv,
"暗黒神を倒した武器。太陽弾とも称される。
光の神の魔力が込められている。","Magic stone of the sun that slayed the god of darkness.
Imbued with the magic of the light god.",,3,container-0641.csv container-0644.csv container-0645.csv,
"魂を砕く力を持つとされる弓。
攻撃した相手の体力を奪うと言われている。","Bow that crushes demons. 
Said to steal the life force of its victim.",,3,container-0641.csv container-0644.csv container-0645.csv,
"危機を告げる者の意を〓する弓。
だがその標的となった者が逃れる術は無い。","Named after one who can foretell impending danger. 
But the knowledge does not enable him to prevent its coming.",,3,container-0641.csv container-0644.csv container-0645.csv,
"四宝の一つ。妖精界に安定をもたらすと言われている。
その攻撃力は持ち主に比例する。","One of the Four Treasures. Said to stabilize the spirit world.
Attack power is proportional to wielder.",,3,container-0641.csv container-0644.csv container-0645.csv,
巨人を倒したとされる英雄の武器。,Weapon of a hero believed by some to have slayed a giant.,,3,container-0641.csv container-0644.csv container-0645.csv,
"先端に紅玉を飾りたてた杖。紅玉の中〓には
心臓の〓動のように明滅する小さな光が見える。","A staff with a ruby gem set in its tip. Inside the gem a tiny
light flickers like a heartbeat.",,3,container-0641.csv container-0644.csv container-0645.csv,
"先端に水晶を飾りたてた杖。
光の加減によって〓色に輝き、とても美しい。","A wand with a crystal set in its tip.
Pulsating with 7 different colors, it is quite beautiful.",,3,container-0641.csv container-0644.csv container-0645.csv,
"ある海辺の廃村から発掘された杖。
古代の海の神を崇める文字が刻まれている。","Staff excavated from a barren seaside village.
Bears an inscription praising the ancient god of the sea.",,3,container-0641.csv container-0644.csv container-0645.csv,
先端に無〓大を表す飾りが付けられた杖。,Staff decorated with the symbol of infinity.,,3,container-0641.csv container-0644.csv container-0645.csv,
魔法金属を用いて作られた杖。,Wand composed of magical metal.,,3,container-0641.csv container-0644.csv container-0645.csv,
"蓮の花を模した飾りが付けられた杖。
魔術の〓弐に使用される。","A wand fashioned in the image of a lotus flower.
For use in mystical ceremonies.",,3,container-0641.csv container-0644.csv container-0645.csv,
妖精を模した飾りが付けられた杖。,A wand fashioned in the image of a fairy.,,3,container-0641.csv container-0644.csv container-0645.csv,
ドラゴンの持つ魔力を封じ込めた杖。,Staff imbued with the magic power of dragons.,,3,container-0641.csv container-0644.csv container-0645.csv,
聖なる力を持つ宝玉がはめ込まれた杖。,Bejeweled rod imbued with holy power.,,3,container-0641.csv container-0644.csv container-0645.csv,
荒れ狂う大波を模した紋章が飾り付けられた杖。,A scepter inscribed with the emblem of a crashing wave.,,3,container-0641.csv container-0644.csv container-0645.csv,
ユニコーンの角を魔術師用の杖に加工したもの。,A unicorn horn which has been turned into a magician's wand.,,3,container-0641.csv container-0644.csv container-0645.csv,
天界の力で作られた魔法の杖。,Scepter imbued with the power of ether.,,3,container-0641.csv container-0644.csv container-0645.csv,
二匹の蛇が〓みついた姿を持つ杖。,Staff in the shape of two snakes entwined.,,3,container-0641.csv container-0644.csv container-0645.csv,
"大蛇の姿を模した形状の杖。
大魔法ペイルフレアーが使用できる。","A staff shaped like a giant snake.
Enables the Great Magic Pale Flare.",,3,container-0641.csv container-0644.csv container-0645.csv,
"無〓の英知を封じ込めた杖。
大魔法ファントムデストラクシヨンが使用できる。","Staff imbued with infinite wisdom. 
Enables the Great Magic Phantom Destruction.",,3,container-0641.csv container-0644.csv container-0645.csv,
