original_jp,original_en,translated,occurrences,containers,notes
シンクレアーサーベル,Sinclair Saber,Sabre Sinclair,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
フロストペイン,Frostbane,Flagelo do Gelo,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
曲刀ハルペー,Harpe,Harpe,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
名刀蜘蛛切り,Spider Fighter,Lutadora Aranha,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ライトニングエッジ,Lightning Edge,Lâmina Tempestuosa,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
アイシクルソード,Icicle Sword,Espada Gélida,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ルーンスレイヤー,Runeslayer,Ceifador de Runa,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
フレアバゼラード,Flare Baselard,Baselarda Ígnea,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
名刀蓮断ち,Lotus Slicer,Cortador de Lótus,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ホーリィソード,Holy Sword,Espada Sagrada,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
名刀五月雨,Sun Shower,Chuva de Sol,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
名剣アロンダイト,Arondight,Arondight,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
閃刀シルヴァンス,Sword of Silvans,Espada dos Silvânios,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
魔剣グラム,Gram,Gram,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
聖剣アスカロン,Ascalon,Ascalon,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
名剣ムーンファルクス,Moonfalx,Foice Lunar,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
神剣グランス・リヴァイバー,Glance Reviver,Vislumbre Ressucitador,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
魔剣ダインスレイヴ,Dainslef,Dainslef,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
魔剣レヴァンテイン,"Demon Sword ""Levantine""","Espada Demoníaca ""Levantine""",6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
恐剣ヘルギ,Helgi's Sword,Espada da Helgi,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
咎人の剣“神を斬獲せし者”,Angel Slayer,Mata Anjos,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
バスタードソード,Bastard Sword,Espada Bastarda,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
トゥハンデッドソード,Two-Handed Sword,Espada de Duas Mãos,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ストライキングソード,Striking Sword,Espada Atacante,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
エレメンタルエッジ,Elemental Edge,Lâmina Elemental,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
スクレップ,Screp,Screp,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
クレイモア,Claymore,Claymore,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
フルンティング,Hrunting,Hrunting(ou Espada de Unferth),6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
フランベルジュ,Flamberge,Flamberge,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ツヴァイハンダー,Zweihander,Zweihänder,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
名剣ヴェインスレイ,Vainslayer,Matadora de Vãos,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
シルバークラッド,Kraadicator,Kraadicador,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
蒼剣グランスティング,Grand Sting,Grande Ferrão,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
精王剣アレクタリス,Arectaris,Lâmina do Juízo,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
帝剣デュランダル,Durandal,Durandal,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
カリバーン,Caliburn,Caliburn,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
神剣ギャラルホルン,Gjallarhorn,Gjallarhorn(ou Chifre Estrondoso),6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
光剣クラウソナス,Claiomh Solais,Espada da Luz,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ヴァンパイアソード,Vampire Sword,Espada Vampira,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
イグニートソード,Ignite Sword,Espada Ígnea,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
魔剣アクターネファリウス,"Demon Sword ""Nefarious""",Espada Demoníaca ""Nefarious""",6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
壊剣ティルフング,Tyrfing,Tyrfing,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
神槍グングニル,Gungnir,Gungnir,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
聖槍セントハルバード,Saint's Halberd,Alabarda dos Santos,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
蛇矛バシリスク,"Spear ""Basilisk""","Lança ""Basilisco""",6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
裂槍ルーンバルディーチェ,Lunar Bardiche,bardiche Lunar,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
剛槍ダイナソア,"Great Spear ""Dinosaur""","Lança Grande ""Dinossauro""",6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
シヨートボウ,Short Bow,Arco Curto,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
クロスボウ,Crossbow,Besta,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ロングボウ,Long Bow,Arco Longo,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ストレングスボウ,Strength Bow,Arco de Força,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
スプリームクロスボウ,Supreme Crossbow,Besta Suprema,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ヘビークロスボウ,Heavy Crossbow,Besta Pesada,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
コンポジットロング,Composite Longbow,Arco Longo Composto,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
グリナリースレイヤー,Greenery Slayer,Ceifadora da Vegetação,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
アーバレスト,Arbalest,Arbaleste,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
セルスタインロックガン,Serstine-lock-gun,Besta de Serstine,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
メイジスレイヤー,Mage Slayer,Ceifador de Mago,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
連弓ダブルクロス,Doublecross,Dupla Cruz,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
霊弓エルヴンボウ,Elvenbow,Arco Elfo,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
シャイニィラプチャー,Shiny Rupture,Ruptura Brilhante,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
瞬弓ブルーゲイル,Blue Gale,Rajada Azul,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
命弓ミステルテイン,Misteltein,Misteltein,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
クレセントアロー,Crescent Arrow,Flecha Crescente,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ワイルドカリス,Wild Chalice,Cálice Selvagem,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
魔弾タスラム,Tathlum,Tathlum,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ソウルスレイヤー,Soulslayer,Ceifador de Almas,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
魔弓レイザーフォーテル,Soothsayer Bow,Arco do Vidente,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
神弓シルヴァンボウ,Sylvan Bow,Arco Silvestre,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
エルハナンの指先,Elhanan's Fingertips,Pontas dos dedos de Elhanan,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ルビーメイス,Ruby Mace,Cajado de Rubi,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
クリスタルワンド,Crystal Wand,Varinha de Cristal,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
秘密教団の杖,Mystic Cult Staff,Cajado do Culto Místico,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
インフィニティロッド,Infinity Rod,Bastão Infinito,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ミスリルワンド,Mithril Wand,Varinha de Mítril,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ロータスワンド,Lotus Wand,Varinha de Lótus,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
アルケミーワンド,Alchemy Wand,Varinha da Alquímia,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
竜杖ドラゴンロア,Dragonlore,Saber do Dragão,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ホーリィロッド,Holy Rod,Bastão Sagrado,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
デルージュセプター,Deluge Scepter,Cetro do Dilúvio,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
聖杖ユニコーンズホーン,Unicorn's Horn,Chifre do Unicórnio,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
エーテルセプター,Ether Scepter,Cetro de Éter,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
蛇杖ケーリュケイオン,Caduceus,Caduceu,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
魔杖アポカリプス,Wand of Apocalypse,Varão do Apocalipse,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
聖杖ミリオンテラー,Holy Wand of Telos,Varão Santo de Telos,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ブラッディフロウ,Bloody Nails,Unhas Sangrentas,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ブラッディクロー,Bloody Claw,Garras Sangrentas,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ブラッディダスター,Bloody Duster,Luvas Sangrentas,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ブラッディアッシュ,Bloody Murder,Assassino Sangrento,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
レザーメイル,Leather Mail,Cota de Couro,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
チェインメイル,Chainmail,Cota de Malha,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
キュイラス,Cuirass,Couraça,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
クリスタルチェイン,Crystal Chainmail,Cota de Malha Cristal,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
シルバーキュイラス,Silver Cuirass,Couraça de Prata,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
シルバースケイル,Silver Scales,Escamas de Prata,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
デュエルアーマー,Duel Armor,Armadura de Duelo,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
フレイムアーマー,Flame Armor,Armadura de Chama,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
クラッドメイル,Kraadmail,Kraadcota,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
シルバーメイル,Silver Mail,Cota de Prata,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
アイシクルプレート,Icicle Plate,Armadura de Placas de Gelo,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ドラゴンアーマー,Dragon Armor,Armadura de Dragão,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ヴァローアーマー,Valor Armor,Armadura de Valor,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
フルプレート,Full Plate,Armadura de Placas Completa,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ヴァリアントアーマー,Valiant Armor,Armadura Valente,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
シルバープレート,Silver Plate,Armadura de Placas de Prata,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
鏡鎧リフレックス,Reflect Armor,Armadura de Reflecção,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ミスリルプレート,Mithril Plate,Armadura de Placas de Mítril,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
覇王の鎧,Conquerer's Armor,Armadura dos Conquistadores,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
聖鎧アレフストレイン,Armor of Aleph,Armadura de Aleph,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
煌鎧インフィネイトアドマイア,Infinite Admiration,Admiração Infinita,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
アリーシャのローブ,Alicia's Robe,Túnica da Alicia,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
クローク,Cloak,Manto,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
シルバークローク,Silver Cloak,Manto de Prata,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
レザークローク,Leather Cloak,Manto de Couro,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ノーブルクローク,Noble Cloak,Manto Nobre,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
アノイントクローク,Anointed Cloak,Manto Ungido,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
スプリームガーブ,Supreme Garb,Traje Supremo,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
幻衣ミラージュローブ,Mirage Robe,Túnica de Miragem,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
氷衣クリスタルガーブ,Crystal Garb,Traje de Cristal,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
エルヴンタフタ,Elfin Taffeta,Tafetá Élfico,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
フェアリィガーブ,Fairy Garb,Traje de Fada,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
炎衣フレイムミスト,Flame Mist,Bruma de Fogo,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
神衣フェニックスガーブ,Phoenix Garb,Traje da Fênix,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
聖衣ブリタニアガーブ,Robe of Bryttain,Túnica de Bryttain,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
聖衣シルフレッド,Sylphan Robe,Túnica Silvestre,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
縫衣フローレスガーブ,Floral Garb,Traje Floral,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
后衣エターナルシャイン,Eternal Shine,Brilho Eterno,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
サレット,Sallet,Salette,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
シルバーサレット,Silver Sallet,Salette de Prata,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
アイアンヘルム,Iron Helm,Elmo de Ferro,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
デュエルヘルム,Duel Helm,Elmo de Duelo,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
クリスタルヘルム,Crystal Helm,Elmo de Cristal,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
シルバーヘルム,Silver Helm,Elmo de Prata,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ゴーレムヘッド,Golem Headwear,Adereço de Golem,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ヴァローヘルム,Valor Helm,Elmo de Valor,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ヴァリアントヘルム,Valiant Helm,Elmo Valente,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ルーンヘルム,Rune Helm,Elmo Rúnico,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ミスリルヘルム,Mithril Helm,Elmo de Mítril,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
エーテルヘルム,Ether Helm,Elmo de Èter,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
