original_jp,original_en,translated,occurrences,containers,notes
"戦闘中、状態異常（衰弱）になると敵に与えるダメージが
大〓にアップ。更にクリティカルの発生率も上昇する。","When suffering from Frailty in a battle, attack damage against
foes increases. Critical attack odds also increase.",,3,container-0641.csv container-0644.csv container-0645.csv,
"状態異常（沈黙）時、ATKがアップ。
更にクリティカルの発生率も上昇する。","ATK increases when inflicted with Silence.
Critical attack odds also increase.",,3,container-0641.csv container-0644.csv container-0645.csv,
"自分が〓死になるとパーティー全体にファーストエイドが
発生する。ただし自分自身には発生しない。","When character is on the verge of dying, entire party is given
first aid, except for the dying character him/herself.",,3,container-0641.csv container-0644.csv container-0645.csv,
"状態異常中、すべてのステータスが上昇する。
効果は戦闘時のみ発生する。","All status levels go up when stricken by any ailment.
Effect only occurs in a battle.",,3,container-0641.csv container-0644.csv container-0645.csv,
"クリティカルの威力を倍にする。ただしその一撃で
相手が倒せなかった場合そのダメージを自分も負う","Critical attack power doubles. However, if attack fails to defeat
enemy, damage is inflicted upon character as well.",,3,container-0641.csv container-0644.csv container-0645.csv,
HPの最大値が上昇する。,Increases maximum HP value by 10%.,,3,container-0641.csv container-0644.csv container-0645.csv,
"HPの最大値が上昇する。
リンクで強化できる。","Increases maximum HP value by 3%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"HPの最大値が上昇する。
リンクで強化できる。","Increases maximum HP value by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
ATKが上昇する。,Increases ATK by 15%.,,3,container-0641.csv container-0644.csv container-0645.csv,
"ATKが上昇する。
リンクで強化できる。","Increases ATK by 3%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"ATKが上昇する。
リンクで強化できる。","Increases ATK by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
MAGが上昇する。,Increases MAG by 15%.,,3,container-0641.csv container-0644.csv container-0645.csv,
"MAGが上昇する。
リンクで強化できる。","Increases MAG by 3%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"MAGが上昇する。
リンクで強化できる。","Increases MAG by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
HITが上昇する。,Increases HIT by 15%.,,3,container-0641.csv container-0644.csv container-0645.csv,
"HITが上昇する。
リンクで強化できる。","Increases HIT by 3%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"HITが上昇する。
リンクで強化できる。","Increases HIT by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
AVDが上昇する。,Increases AVD by 20%.,,3,container-0641.csv container-0644.csv container-0645.csv,
"AVDが上昇する。
リンクで強化できる。","Increases AVD by 3%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"AVDが上昇する。
リンクで強化できる。","Increases AVD by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
RDMが上昇する。,Increases RDM by 15%.,,3,container-0641.csv container-0644.csv container-0645.csv,
"RDMが上昇する。
リンクで強化できる。","Increases RDM by 3%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"RDMが上昇する。
リンクで強化できる。","Increases RDM by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
RSTが上昇する。,Increases RST by 20%.,,3,container-0641.csv container-0644.csv container-0645.csv,
"RSTが上昇する。
リンクで強化できる。","Increases RST by 3%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"RSTが上昇する。
リンクで強化できる。","Increases RST by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
決め技ダメージが上昇する。,Boosts Special Attack damage by 20%.,,3,container-0641.csv container-0644.csv container-0645.csv,
決め技ダメージが上昇する。,Boosts Special Attack damage by 30%.,,3,container-0641.csv container-0644.csv container-0645.csv,
"決め技ダメージが上昇する。
リンクで強化できる。","Boosts Special Attack damage by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"クリティカルの発生率が上昇する。
複数装備するとその分効果は重複する。","Increases chance of a critical attack.
Equipping more will have a cumulative effect.",,3,container-0641.csv container-0644.csv container-0645.csv,
必ずクリティカルになる。,Guaranteed critical attack.,,3,container-0641.csv container-0644.csv container-0645.csv,
一定確率で攻撃対〓を状態異常（毒）にする。,May inflict Poison on the target.,,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、状態異常（毒）をの確率で無効化する。
リンクで強化できる。","Has a 40% chance of negating Poison during a battle.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
状態異常（毒）を完全に防ぐ。,Provides protection against Poison.,,3,container-0641.csv container-0644.csv container-0645.csv,
一定確率で攻撃対〓を状態異常（麻痺）にする。,May inflict Paralysis on the target.,,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、状態異常（麻痺）をの確率で無効化する。
リンクで強化できる。","Has a 40% chance of negating Paralysis during a battle.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
状態異常（麻痺）を完全に防ぐ。,Completely negates Paralysis.,,3,container-0641.csv container-0644.csv container-0645.csv,
ごく〓に攻撃対〓を即死させる。,"On very rare occasions, will inflict Doom on target.",,3,container-0641.csv container-0644.csv container-0645.csv,
一定確率で攻撃対〓を即死させる。,May inflict Doom on the target.,,3,container-0641.csv container-0644.csv container-0645.csv,
"敵の攻撃の即死効果をの確率で無効化する。
リンクで強化できる。","Has a 40% chance of negating Doom caused by a foe's attack.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
敵の攻撃の即死効果を完全に防ぐ。,Completely negates Doom caused by a foe's attack.,,3,container-0641.csv container-0644.csv container-0645.csv,
一定確率で攻撃対〓を状態異常（沈黙）にする。,May inflict Silence on the target.,,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、状態異常（沈黙）をの確率で無効化する。
リンクで強化できる。","Has a 40% chance of negating Silence during a battle.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
状態異常（沈黙）を完全に防ぐ。,Completely negates Silence.,,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、状態異常（呪い）をの確率で無効化する。
リンクで強化できる。","Has a 40% chance of negating Curse during a battle.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
状態異常（呪い）を完全に防ぐ。,Completely negates Curse.,,3,container-0641.csv container-0644.csv container-0645.csv,
一定確率で攻撃対〓を状態異常（混乱）にする。,May inflict Confusion on the target.,,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、状態異常（混乱）をの確率で無効化する。
リンクで強化できる。","Has a 40% chance of negating Confusion during a battle.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
状態異常（混乱）を完全に防ぐ。,Completely negates Confusion.,,3,container-0641.csv container-0644.csv container-0645.csv,
一定確率で攻撃対〓を状態異常（石化）にする。,May inflict Stone on the target.,,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、状態異常（石化）をの確率で無効化する。
リンクで強化できる。","Has a 40% chance of negating Stone during a battle.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
状態異常（石化）を完全に防ぐ。,Completely negates Stone.,,3,container-0641.csv container-0644.csv container-0645.csv,
一定確率で攻撃対〓を状態異常（気絶）にする。,May inflict Faint on the target.,,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、状態異常（気絶）をの確率で無効化する。
リンクで強化できる。","Has a 40% chance of negating Faint during a battle.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
状態異常（気絶）を完全に防ぐ。,Completely negates Faint.,,3,container-0641.csv container-0644.csv container-0645.csv,
一定確率で攻撃対〓を状態異常（凍結）にする。,May inflict Freeze on the target.,,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、状態異常（凍結）をの確率で無効化する。
リンクで強化できる。","Has a 40% chance of negating Freeze during a battle.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
状態異常（凍結）を完全に防ぐ。,Completely negates Freeze.,,3,container-0641.csv container-0644.csv container-0645.csv,
一定確率で攻撃対〓を状態異常（衰弱）にする。,May inflict Frailty on the target.,,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、状態異常（衰弱）をの確率で無効化する。
リンクで強化できる。","Has a 40% chance of negating Frailty during a battle.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
状態異常（衰弱）を完全に防ぐ。,Completely negates Frailty.,,3,container-0641.csv container-0644.csv container-0645.csv,
"一定確率で攻撃対〓を毒、混乱、沈黙、凍結、麻痺、
石化、気絶のいずれかにする。","May inflict Poison, Confusion, Silence, Freeze, Paralysis,
Faint, or Stone on the target.",,3,container-0641.csv container-0644.csv container-0645.csv,
"戦闘中、毒、混乱、沈黙、凍結、麻痺、石化、気絶を
の確率で無効化する。リンクで強化できる。","40% chance of negating Poison, Confusion, Silence, Freeze,
Paralysis, Faint or Stone in a battle. Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
一定確率で攻撃対〓を戦場外へ転送する。,Chance of teleporting enemy target out of the battlefield.,,3,container-0641.csv container-0644.csv container-0645.csv,
"攻撃時、の炎属性ダメージが加算される。
リンクで強化できる。","Extra 3% of fire damage is inflicted when attacking.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"攻撃時、の炎属性ダメージが加算される。
リンクで強化できる。","Extra 5% of fire damage is inflicted when attacking.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"炎属性ダメージを減少させる。
リンクで強化できる。","Fire damage is reduced by 3%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"炎属性ダメージを減少させる。
リンクで強化できる。","Fire damage is reduced by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"炎属性ダメージをの確率で吸収する。
リンクで強化できる。","3% chance of draining foe's health with fire damage and adding
it to own HP. Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"炎属性ダメージをの確率で吸収する。
リンクで強化できる。","5% chance of draining foe's health with fire damage and adding
it to own HP. Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"攻撃時、の氷属性ダメージが加算される。
リンクで強化できる。","Extra 3% of freeze damage is inflicted when attacking.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"攻撃時、の氷属性ダメージが加算される。
リンクで強化できる。","Extra 5% of freeze damage is inflicted when attacking.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"氷属性ダメージを減少させる。
リンクで強化できる。","Freeze damage is reduced by 3%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"氷属性ダメージを減少させる。
リンクで強化できる。","Freeze damage is reduced by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"氷属性ダメージをの確率で吸収する。
リンクで強化できる。","3% chance of draining foe's health with freeze damage and
adding it to own HP. Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"氷属性ダメージをの確率で吸収する。
リンクで強化できる。","5% chance of draining foe's health with freeze damage and
adding it to own HP. Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"攻撃時、の雷属性ダメージが加算される。
リンクで強化できる。","Extra 3% of lightning damage is inflicted when attacking.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"攻撃時、の雷属性ダメージが加算される。
リンクで強化できる。","Extra 5% of lightning damage is inflicted when attacking.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"雷属性ダメージを減少させる。
リンクで強化できる。","Lightning damage is reduced by 3%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"雷属性ダメージを減少させる。
リンクで強化できる。","Lightning damage is reduced by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"雷属性ダメージをの確率で吸収する。
リンクで強化できる。","3% chance of draining foe's health with lightning damage and
adding it to own HP. Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"雷属性ダメージをの確率で吸収する。
リンクで強化できる。","5% chance of draining foe's health with lightning damage and
adding it to own HP. Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"攻撃時、の土属性ダメージが加算される。
リンクで強化できる。","Extra 3% of earth damage is inflicted when attacking.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"攻撃時、の土属性ダメージが加算される。
リンクで強化できる。","Extra 5% of earth damage is inflicted when attacking.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"土属性ダメージを減少させる。
リンクで強化できる。","Earth damage is reduced by 3%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"土属性ダメージを減少させる。
リンクで強化できる。","Earth damage is reduced by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"土属性ダメージをの確率で吸収する。
リンクで強化できる。","3% chance of draining foe's health with earth damage and
adding it to own HP. Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"土属性ダメージをの確率で吸収する。
リンクで強化できる。","5% chance of draining foe's health with earth damage and
adding it to own HP. Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"攻撃時、の聖属性ダメージが加算される。
リンクで強化できる。","Extra 3% of holy damage is inflicted when attacking.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"攻撃時、の聖属性ダメージが加算される。
リンクで強化できる。","Extra 5% of holy damage is inflicted when attacking.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"聖属性ダメージを減少させる。
リンクで強化できる。","Holy damage is reduced by 3%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"聖属性ダメージを減少させる。
リンクで強化できる。","Holy damage is reduced by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"攻撃時、の闇属性ダメージが加算される。
リンクで強化できる。","Extra 3% of darkness damage is inflicted when attacking.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"攻撃時、の闇属性ダメージが加算される。
リンクで強化できる。","Extra 5% of darkness damage is inflicted when attacking.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"闇属性ダメージを減少させる。
リンクで強化できる。","Darkness damage is reduced by 3%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"闇属性ダメージを減少させる。
リンクで強化できる。","Darkness damage is reduced by 5%.
Enhance by linking.",,3,container-0641.csv container-0644.csv container-0645.csv,
"獣系の敵に対して高いダメージを与える。
クリティカルスキル（ビーストスレイヤー）の効果。","Inflicts heavy damage against Beast enemies.
A critical skill effect (Beast Bludgeon).",,3,container-0641.csv container-0644.csv container-0645.csv,
"植物系の敵に対して高いダメージを与える。
クリティカルスキル（プラントスレイヤー）の効果。","Inflicts heavy damage against Plant enemies.
A critical skill effect (Weed Whacker).",,3,container-0641.csv container-0644.csv container-0645.csv,
"虫系の敵に対して高いダメージを与える。
クリティカルスキル（インセクトスレイヤー）の効果。","Inflicts heavy damage against Insect enemies.
A critical skill effect (Bug Swatter).",,3,container-0641.csv container-0644.csv container-0645.csv,
"魔術師系の敵に対して高いダメージを与える。
クリティカルスキル（マジックスレイヤー）の効果。","Inflicts heavy damage against Magic enemies.
A critical skill effect (Magician Slayer).",,3,container-0641.csv container-0644.csv container-0645.csv,
"不浄な敵に対して高いダメージを与える。
クリティカルスキル（アンホーリースレイヤー）の効果。","Inflicts heavy damage against Unholy enemies.
A critical skill effect (Unholy Purifier).",,3,container-0641.csv container-0644.csv container-0645.csv,
"鱗に覆われた敵に対して高いダメージを与える。
クリティカルスキル（スケイルスラッシャー）の効果。","Inflicts heavy damage against Scaled enemies.
A critical skill effect (Descaling Might).",,3,container-0641.csv container-0644.csv container-0645.csv,
"実体を持たない敵に対して高いダメージを与える。
クリティカルスキル（ゴーストバスター）の効果。","Inflicts heavy damage against Incorporeal enemies.
A critical skill effect (Ghost Buster).",,3,container-0641.csv container-0644.csv container-0645.csv,
"巨大な敵に対して高いダメージを与える。
クリティカルスキル（ジャイアントキラー）の効果。","Inflicts heavy damage against Giant enemies.
A critical skill effect (Giant Killer).",,3,container-0641.csv container-0644.csv container-0645.csv,
"竜系の敵に対して高いダメージを与える。
クリティカルスキル（ドラゴンスレイヤー）の効果。","Inflicts heavy damage against Dragon enemies.
A critical skill effect (Dragon Slayer).",,3,container-0641.csv container-0644.csv container-0645.csv,
"悪魔族の敵に対して高いダメージを与える。
クリティカルスキル（デーモンスレイヤー）の効果。","Inflicts heavy damage against Demon enemies.
A critical skill effect (Demon Destroyer).",,3,container-0641.csv container-0644.csv container-0645.csv,
"神族の敵に対して高いダメージを与える。
クリティカルスキル（ゴッドスレイヤー）の効果。","Inflicts heavy damage against Divine enemies.
A critical skill effect (God Destroyer).",,3,container-0641.csv container-0644.csv container-0645.csv,
攻撃時、の確率で攻撃対〓を状態異常（混乱）にする。,A 10% chance of inflicting Confusion on the foe when attacking.,,3,container-0641.csv container-0644.csv container-0645.csv,
"ダメージが大きくぶれるようになる。
神族系の場合、さらに倍になる。","Causes attack damage to vary greatly.
Doubly so against Divine enemies.",,3,container-0641.csv container-0644.csv container-0645.csv,
装備すると、戦闘開始時に状態異常（衰弱）が発生する。,"When equipped, Frailty is inflicted when a battle begins.",,3,container-0641.csv container-0644.csv container-0645.csv,
"攻撃を受けると、その〓てに状態異常（衰弱）が
発生する。",Causes Frailty for all attacks in which damage is received.,,3,container-0641.csv container-0644.csv container-0645.csv,
攻撃ダメージが現レベルの倍の値に〓定される。,Attack damage equal to character level multiplied by 20.,,3,container-0641.csv container-0644.csv container-0645.csv,
全ての属性と状態異常耐性を無にする。,All element tolerance and ailment resistance is nullified.,,3,container-0641.csv container-0644.csv container-0645.csv,
神の祝福により傷が癒える。,Wounds are healed by the blessing of the gods.,,3,container-0641.csv container-0644.csv container-0645.csv,
女性に対して高いダメージを与える。,Inflicts heavy damage against female characters.,,3,container-0641.csv container-0644.csv container-0645.csv,
これが真実の公弐設定らしい。,The official figures are in!,,3,container-0641.csv container-0644.csv container-0645.csv,
コンボゲージ増加量が通常の.倍になる。,Combo Gauge increase is set to 1.5 times normal.,,3,container-0641.csv container-0644.csv container-0645.csv,
攻撃が度ヒットするようになる。,Strike twice with each attack.,,3,container-0641.csv container-0644.csv container-0645.csv,
