resource,message_id,kind,offset,byte_length,original_en,original_jp,translated
641,266,codepage,3374,13,Ether Shield,エーテルシールド,
641,267,codepage,3387,14,Extreme Guard,エクストリームガード,
641,268,codepage,3401,11,Star Guard,スターガード,
641,269,codepage,3412,14,Leather Glove,レザーグローブ,
641,270,codepage,3426,12,Magic Glove,マジックグローブ,
641,271,codepage,3438,11,Wind Glove,ウインドグローブ,
641,272,codepage,3449,13,Vein Greaves,ヴェイングリーブ,
641,273,codepage,3462,16,Valiant Greaves,ヴァリアントグリーブ,
641,274,codepage,3478,13,Rune Greaves,ルーングリーブ,
641,275,codepage,3491,16,Mithril Greaves,ミスリルグリーブ,
641,276,codepage,3507,14,Ether Greaves,エーテルグリーブ,
641,277,codepage,3521,14,Metal Greaves,メタルグリーブ,
641,278,codepage,3535,13,Duel Greaves,デュエルグリーブ,
641,279,codepage,3548,15,Silver Greaves,シルバーグリーブ,
641,280,codepage,3563,14,Valor Greaves,ヴァローグリーブ,
641,281,codepage,3577,12,Suede Boots,スエードブーツ,
641,282,codepage,3589,12,Elfin Boots,エルヴンブーツ,
641,283,codepage,3601,10,Red Boots,レッドブーツ,
641,284,codepage,3611,11,Guard Ring,ガードリング,
641,285,codepage,3622,13,Protect Ring,プロテクトリング,
641,286,codepage,3635,9,Hit Ring,ヒットリング,
641,287,codepage,3644,11,Magic Ring,マジックリング,
641,288,codepage,3655,11,Flame Ring,フレイムリング,
641,289,codepage,3666,9,Ice Ring,アイスリング,
641,290,codepage,3675,13,Thunder Ring,サンダーリング,
641,291,codepage,3688,12,Poison Ring,ポイズンリング,
641,292,codepage,3700,11,Light Ring,ライトリング,
641,293,codepage,3711,10,Dark Ring,ダークリング,
641,294,codepage,3721,12,Dragon Ring,ドラゴンリング,
641,295,codepage,3733,11,Demon Ring,デーモンリング,
641,296,codepage,3744,12,Mirage Ring,ミラージュリング,
641,297,codepage,3756,11,Giant Ring,ジャイアントリング,
641,298,codepage,3767,16,Goddess Pendant,戦乙女のペンダント,
641,299,codepage,3783,11,tri-Emblem,トライエンブレム,
641,300,codepage,3794,14,Flare Crystal,フレアクリスタル,
641,301,codepage,3808,12,Ice Crystal,アイスクリスタル,
641,302,codepage,3820,14,Earth Crystal,アースクリスタル,
641,303,codepage,3834,16,Thunder Crystal,サンダークリスタル,
641,304,codepage,3850,13,Holy Crystal,ホーリィクリスタル,
641,305,codepage,3863,15,Shadow Crystal,シャドウクリスタル,
641,306,codepage,3878,14,Prism Crystal,プリズムクリスタル,
641,307,codepage,3892,10,Flare Gem,フレアジェム,
641,308,codepage,3902,8,Ice Gem,アイスジェム,
641,309,codepage,3910,12,Thunder Gem,サンダージェム,
641,310,codepage,3922,10,Earth Gem,アースジェム,
641,311,codepage,3932,9,Holy Gem,ホーリィジェム,
641,312,codepage,3941,11,Shadow Gem,シャドウジェム,
641,313,codepage,3952,10,Prism Gem,プリズムジェム,
641,314,codepage,3962,21,Holy Water of Mithra,ミトラの聖水,
641,315,codepage,3983,11,Red Liquid,〓の〓〓,
641,316,codepage,3994,16,Tome of Anarchy,〓乱の書,
641,317,codepage,4010,16,Tome of Alchemy,錬金術の書,
641,318,codepage,4026,18,Warrior's Arcanum,戦士の秘薬,
641,319,codepage,4044,21,Apothecary's Arcanum,薬士の秘薬,
641,320,codepage,4065,16,Witch's Arcanum,魔女の秘薬,
641,321,codepage,4081,15,Sage's Arcanum,賢者の秘薬,
641,322,codepage,4096,15,Dwarf Tincture,小人の霊薬,
641,323,codepage,4111,15,Fairy Tincture,妖精の霊薬,
641,324,codepage,4126,16,Spirit Tincture,精霊の霊薬,
641,325,codepage,4142,17,Goddess Tincture,女神の霊薬,
641,326,codepage,4159,7,Elixir,エリクサー,
641,327,codepage,4166,13,Prime Elixir,プライムエリクサー,
641,328,codepage,4179,13,Noble Elixir,ノーブルエリクサー,
641,329,codepage,4192,12,Union Plume,ユニオンプラム,
641,330,codepage,4204,11,Holy Water,聖水,
641,331,codepage,4215,11,Holy Grail,聖〓,
641,332,codepage,4226,14,Idun's Apples,イズンの林〓,
641,333,codepage,4240,11,Soft Stone,やわらかな石,
641,334,codepage,4251,13,Aspect Stone,方位石,
641,335,codepage,4264,17,Horoscope Tablet,〓〓みの石〓,
641,336,codepage,4281,18,Fireproof Trinket,耐炎の護符,
641,337,codepage,4299,17,Iceproof Trinket,防寒の護符,
641,338,codepage,4316,19,Earthproof Trinket,砕土の護符,
641,339,codepage,4335,23,Lightningproof Trinket,避雷の護符,
641,340,codepage,4358,18,Foolproof Trinket,無欠の護符,
641,341,codepage,4376,19,Fireproof Talisman,耐炎のタリスマン,
641,342,codepage,4395,18,Iceproof Talisman,防寒のタリスマン,
641,343,codepage,4413,20,Earthproof Talisman,砕土のタリスマン,
641,344,codepage,4433,24,Lightningproof Talisman,避雷のタリスマン,
641,345,codepage,4457,19,Foolproof Talisman,無欠のタリスマン,
641,346,codepage,4476,14,Nectar Potion,リキュールポーシヨン,
641,347,codepage,4490,13,Charge Break,チャージブレイク,
641,348,codepage,4503,13,Might Potion,マイトポーシヨン,
641,349,codepage,4516,13,Guard Potion,ガードポーシヨン,
641,350,codepage,4529,13,Spell Potion,スペルポーシヨン,
641,351,codepage,4542,10,Overdrive,オーバードライブ,
641,352,codepage,4552,22,Tome of Teleportation,〓〓の書,
641,353,codepage,4574,17,Wand of Exchange,〓〓の杖,
641,354,codepage,4591,9,Rose Gem,〓炎石,
641,355,codepage,4600,10,Azure Gem,蒼炎石,
641,356,codepage,4610,9,Jade Gem,〓炎石,
641,357,codepage,4619,20,Expert's Experience,識者の経験,
641,358,codepage,4639,9,Ambrosia,アンブロシア,
641,359,codepage,4648,21,Fencer's Familiarity,剣士の知識,
641,360,codepage,4669,17,Sorcerer's Savvy,魔術師の知識,
641,361,codepage,4686,18,Archer's Aptitude,弓闘士の知識,
641,362,codepage,4704,17,Thief's Thoughts,盗賊の知識,
641,363,codepage,4721,15,Warrior's Wits,重戦士の知識,
641,364,codepage,4736,11,Golden Egg,金の卵,
641,365,codepage,4747,14,Eye of Heaven,天空の〓,
641,366,codepage,4761,13,Double-check,ダブルサーチ,
641,367,codepage,4774,11,Spectacles,スペクタクルズ,
641,368,codepage,4785,16,Gem of Illusion,幻〓の〓,
641,369,codepage,4801,17,Tome of Godspeed,神〓の書,
641,370,codepage,4818,16,Immense Incisor,巨大な〓〓,
641,371,codepage,4834,16,Monstrous Molar,巨大な奥〓,
641,372,codepage,4850,22,Colossal Canine Tooth,巨大な〓〓,
641,373,codepage,4872,11,Troll Clay,トロルクレイ,
641,374,codepage,4883,16,Rotted Bludgeon,〓った〓〓,
641,375,codepage,4899,17,Skull Receptacle,ドクロの器,
641,376,codepage,4916,16,Skeleton Goblet,がいこつの〓,
641,377,codepage,4932,12,Black Skull,〓いドクロ,
641,378,codepage,4944,14,Black Crystal,〓〓の結〓,
641,379,codepage,4958,9,Bonemeal,骨クズ,
641,380,codepage,4967,15,Fuchsia Spinel,〓炎の〓〓石,
641,381,codepage,4982,12,Teal Spinel,蒼炎の〓〓石,
641,382,codepage,4994,18,Chartreuse Spinel,〓炎の〓〓石,
641,383,codepage,5012,14,Scarlet Alloy,〓雷の〓,
641,384,codepage,5026,15,Cerulean Alloy,青雷の〓,
641,385,codepage,5041,16,Verdigris Alloy,〓雷の〓,
641,386,codepage,5057,17,Polished Red Ore,錬〓鉱,
641,387,codepage,5074,18,Polished Blue Ore,錬青鉱,
641,388,codepage,5092,19,Polished Green Ore,錬〓鉱,
641,389,codepage,5111,12,Rose Quartz,〓〓〓,
641,390,codepage,5123,14,Indigo Quartz,青〓〓,
641,391,codepage,5137,12,Sage Quartz,〓〓〓,
641,392,codepage,5149,13,Broken Blade,〓れた刀〓,
641,393,codepage,5162,13,Broken Sword,〓れた剣,
641,394,codepage,5175,9,Red Horn,レッドホーン,
641,395,codepage,5184,14,Dragon's Horn,竜の〓,
641,396,codepage,5198,9,Red Fang,レッドファング,
641,397,codepage,5207,14,Dragon's Fang,竜の〓,
641,398,codepage,5221,16,Dragon Sapphire,ドラゴンサファイア,
641,399,codepage,5237,15,Dragon Emerald,ドラゴンエメラルド,
641,400,codepage,5252,12,Dragon Ruby,ドラゴンルビー,
641,401,codepage,5264,18,Dragon's Wingbone,竜の〓骨,
641,402,codepage,5282,13,Emerald Horn,エメラルドホーン,
641,403,codepage,5295,15,Dragon's Talon,竜の〓〓,
641,404,codepage,5310,20,Dragonlord's Nerves,竜神の〓〓,
641,405,codepage,5330,17,Dragon's Eyeball,竜の眼〓,
641,406,codepage,5347,14,Dragon Scales,竜のうろこ,
641,407,codepage,5361,15,Monster Scales,魔物のうろこ,
641,408,codepage,5376,17,Evergreen Scales,〓〓のうろこ,
641,409,codepage,5393,15,Rainbow Scales,〓〓のうろこ,
641,410,codepage,5408,12,Worn Shield,ジャンクシールド,
641,411,codepage,5420,6,Crown,クラウン,
641,412,codepage,5426,15,Alligator Skin,〓ニ〓,
641,413,codepage,5441,16,Sharp Spearhead,するどい〓先,
641,414,codepage,5457,9,Bat Wing,こうもりの〓,
641,415,codepage,5466,16,Black Wing Skin,〓い〓〓,
641,416,codepage,5482,13,Bat Umbrella,こうもり〓,
641,417,codepage,5495,8,Bat Ear,こうもりの〓,
641,418,codepage,5503,18,Great Eagle Heart,大〓シの心〓,
641,419,codepage,5521,13,Wing Feather,〓切〓,
641,420,codepage,5534,20,Charged Tailfeather,封雷の尾〓,
641,421,codepage,5554,22,Windswept Tailfeather,封〓の尾〓,
641,422,codepage,5576,15,Raptor's Talon,〓〓の〓,
641,423,codepage,5591,13,Beast's Fang,〓の〓,
641,424,codepage,5604,13,Scarlet Fang,〓紅の〓,
641,425,codepage,5617,16,Firebreath Core,ファイアブレスコア,
641,426,codepage,5633,17,Blazebreath Core,ブレイズブレスコア,
641,427,codepage,5650,17,Flamebreath Core,フレイムブレスコア,
641,428,codepage,5667,15,Icebreath Core,アイスブレスコア,
641,429,codepage,5682,17,Frostbreath Core,コールドブレスコア,
641,430,codepage,5699,20,Blizzardbreath Core,ブリザードブレスコア,
641,431,codepage,5719,15,Gasbreath Core,ガスブレスコア,
641,432,codepage,5734,18,Poisonbreath Core,ポイズンブレスコア,
641,433,codepage,5752,17,Toxicbreath Core,ハームブレスコア,
641,434,codepage,5769,24,Pentachrome Breath Core,五〓のブレスコア,
641,435,codepage,5793,11,Beast Pelt,〓の〓〓,
641,436,codepage,5804,14,Beast's Flesh,〓肉,
641,437,codepage,5818,12,Koboldapult,スリングトップ,
641,438,codepage,5830,13,Koboldriller,コボルトランサー,
641,439,codepage,5843,12,Koboldriver,コボルトハンマー,
641,440,codepage,5855,12,Copper Coin,〓のコイン,
641,441,codepage,5867,12,Silver Coin,銀のコイン,
641,442,codepage,5879,10,Gold Coin,金のコイン,
641,443,codepage,5889,10,Bolt Coin,〓〓のコイン,
641,444,codepage,5899,9,Iron Ore,鉄鉱石,
641,445,codepage,5908,16,Gargoyle's Arch,巨〓の手〓,
641,446,codepage,5924,17,Gargoyle's Wings,巨〓の〓,
641,447,codepage,5941,16,Crimson Feather,〓紅の〓〓,
641,448,codepage,5957,18,Evergreen Feather,〓〓の〓〓,
641,449,codepage,5975,17,Pure White Plume,〓〓の〓り〓,
641,450,codepage,5992,13,Indigo Plume,〓〓の〓り〓,
641,451,codepage,6005,5,Beak,くちばし,
641,452,codepage,6010,8,Feather,〓〓,
641,453,codepage,6018,7,Garnet,金〓石,
641,454,codepage,6025,19,White Flower Petal,〓い花〓,
641,455,codepage,6044,17,Red Flower Petal,〓い花〓,
641,456,codepage,6061,12,Poison Seed,ポイズンシード,
641,457,codepage,6073,11,Toxic Seed,ハームシード,
641,458,codepage,6084,11,Nightshade,ベラドンナ,
641,459,codepage,6095,15,Insect Stinger,虫のトゲ,
641,460,codepage,6110,10,Hot Plate,ヒートプレート,
641,461,codepage,6120,12,Beetle Horn,〓虫の〓,
641,462,codepage,6132,13,Beetle Shell,〓虫の殻〓,
641,463,codepage,6145,17,Blue Bubble Core,ブルーバブルコア,
641,464,codepage,6162,18,Green Bubble Core,グリーンバブルコア,
641,465,codepage,6180,16,Swordfish Snout,ソードホーン,
641,466,codepage,6196,14,Narwhal Tooth,バンカーホーン,
